ID,SEX,AGE
179,1,30.14
180,2,42.15
181,1,45.7
183,1,30.18
184,1,30.12
185,1,83.46
186,2,61.15
188,2,44.02
189,2,41.72
191,1,44.21
192,1,38.94
193,2,55.24
194,2,48.33
195,1,37.83
196,2,29.11
197,2,60.46
198,1,45.26
199,1,63.66
200,2,49.92
201,2,22.41
202,1,20.17
204,2,74.64
205,1,45.38
206,2,50.02
207,2,40.36
208,1,34
209,1,32.64
210,1,69.33
211,1,55.12
212,1,59.13
213,2,54.66
214,2,24.31
216,1,73.02
217,2,57.21
218,2,35.41
219,2,53.08
221,1,48.55
222,2,36.06
223,1,63.25
224,2,36.92
225,2,47.01
226,2,41.9
227,2,67.06
229,2,72.35
230,2,21.15
231,2,58.99
232,2,28.81
233,2,26.75
234,1,33.13
236,1,25.71
237,2,78.2
238,2,27.73
239,2,62.96
240,1,39.04
241,1,30.01
242,1,31.37
244,2,49.04
246,2,42.22
247,1,29.82
248,2,44.88
249,1,68.27
250,2,72.88
251,2,80.17
252,2,70.56
253,2,24
254,2,25.58
255,2,57.7
256,1,27.38
257,1,69.55
258,2,22.57
259,2,59.78
260,1,60.91
261,1,34.21
262,2,20.93
263,2,25.21
264,2,44.88
265,2,27.38
266,2,61.07
267,1,35.45
268,2,44.92
269,2,26.58
270,2,61.02
274,2,73.54
275,1,24.18
276,1,20.91
277,2,61.34
278,1,20.21
279,1,51.88
280,2,42.51
282,1,40.01
284,2,63.04
285,1,40.81
286,1,54.28
287,2,44.99
288,2,78.58
289,1,60.84
290,2,45.75
291,2,30.69
292,2,23.73
293,2,26.52
294,2,27.08
295,2,50.9
296,2,63.97
297,1,51.29
298,2,43.46
299,2,53.41
300,1,38.28
302,1,59.51
303,1,25.46
304,2,46.59
305,2,62.51
306,2,30.18
307,1,33
308,1,41.2
310,2,62.02
311,1,61.59
312,2,59.15
313,1,65.85
314,1,45.86
315,2,25.45
316,1,56.94
317,1,67.79
318,2,54.49
319,1,59.47
320,2,29.74
321,2,54.74
322,2,28.48
324,1,60.08
325,2,52.67
326,2,67.74
327,1,73.56
328,2,61.79
329,1,55.66
330,1,44.48
331,1,23.49
332,2,42.37
334,2,69.29
335,1,69.28
336,1,67.77
338,2,61.49
341,1,0
342,1,48.68
344,1,62.09
348,2,38.59
350,1,62.68
351,2,56.92
353,2,52.69
354,1,45.62
356,2,64.1
357,2,63.54
358,2,62.06
359,2,62.06
360,2,54.19
361,2,54.19
362,2,41.1
363,2,60.92
364,2,67.16
365,2,66.53
367,2,54.21
368,2,54.21
369,2,60.6
371,2,26.4
372,1,29.26
373,2,58.79
375,2,41.06
376,2,72.59
377,2,72.59
378,2,38.84
379,2,66.91
380,2,66.91
381,2,59.67
382,2,65.91
383,2,74.01
384,2,74.01
385,2,64.65
386,2,52.3
387,2,46.43
388,1,33.35
389,2,58.37
390,2,41.89
391,1,52.53
392,2,62.46
393,2,60.1
394,1,53.75
395,1,45.03
396,2,53.57
397,2,51.66
398,2,51.66
399,2,73.54
400,2,55.58
401,2,55.58
402,2,53.54
403,2,53.54
404,1,62.74
405,2,58.57
406,2,58.28
407,2,58.28
408,2,52.13
409,2,70.95
410,2,53.41
411,2,53.41
412,2,58.57
413,2,59.84
414,2,59.74
415,2,72.33
416,2,72.15
417,1,59.88
418,2,59.74
419,2,73.18
420,2,73.18
422,1,37.1
423,1,39.02
424,1,46.3
425,2,19.98
426,2,23.11
427,1,34.28
428,2,55.54
429,2,55.54
430,2,72.01
431,2,58.78
432,1,57.74
433,2,73.9
434,2,67.24
435,1,0
436,1,28.35
437,2,55.6
438,1,63.68
439,2,43.92
440,1,48.1
441,2,48.1
442,1,61.37
443,1,69.13
444,2,58.38
445,1,60.03
446,2,60.11
447,2,72.83
448,1,79.41
449,1,46.9
450,1,68.51
451,2,41.13
452,2,63.4
453,1,63.42
454,1,32.58
455,2,68.48
456,2,70.25
458,1,70.71
459,2,62.43
460,2,60.9
461,2,60.9
462,2,75.08
463,2,70.14
464,2,86.32
465,1,69.28
467,2,66.95
468,1,67.7
469,1,32.84
470,1,35.98
473,1,68.13
475,2,32.7
476,2,78.36
477,2,46.43
478,1,49.02
479,2,60.02
480,2,60.02
481,1,65.33
482,2,72.09
483,2,63.39
484,1,66.37
485,2,68.85
486,2,63.84
487,1,66.28
488,2,69.07
489,2,69.07
490,2,70.14
491,2,75.97
492,2,69.29
493,1,67.77
494,1,66.33
495,2,60.87
496,2,62.8
497,1,72.31
498,2,76.78
499,1,82.19
501,2,67.11
502,2,63.88
503,1,65.1
504,1,68.15
505,2,62.25
506,2,69.69
507,1,71.66
508,2,60.93
510,2,32.42
511,2,64.58
512,1,64.75
515,2,62.09
516,2,60.41
517,1,36.16
518,2,75.83
519,1,57.51
521,2,70.84
522,2,28.93
523,2,63.42
524,2,33.52
525,1,41.52
526,2,54.61
527,1,53.33
528,1,40.53
531,1,75.94
532,1,36.55
533,1,73.6
534,1,69.61
535,2,65.26
536,2,58.83
537,2,67.46
538,2,81.94
539,1,78.07
541,2,36.42
542,2,44.38
543,1,70.52
544,2,58.04
546,2,60.07
547,1,33.83
548,2,66.33
549,2,25.02
550,2,59.91
551,2,70.5
552,2,64.66
553,1,28.24
554,1,70.11
555,2,65.67
556,1,55.64
558,2,66.86
559,2,67.82
560,1,63.87
561,2,31.58
562,2,42.79
563,2,28.37
565,1,63.82
566,2,42.97
567,2,28.56
568,2,33.69
569,1,56.96
571,2,38.89
572,2,41.95
573,2,35.46
574,2,50.57
575,2,57.75
576,2,67.33
577,2,64.19
578,1,57.86
579,1,41.22
582,1,29.77
584,1,41.33
585,1,28.12
586,1,34.37
587,1,33.59
588,1,45.3
591,2,59.89
592,1,48.08
593,2,55.22
594,1,62
595,2,49.6
596,1,29.66
597,2,43.08
598,1,52.89
599,1,39.38
600,1,38.96
601,1,35.52
603,2,66.02
605,2,70.33
606,1,60.54
607,1,83.81
608,1,52.5
609,1,29
610,1,56.68
611,1,28.87
612,1,33.92
613,1,25.59
614,2,26.93
616,1,55.09
617,1,39.18
618,1,37.95
619,1,24.88
621,1,31.62
622,1,59.69
623,1,0
625,1,47.07
626,1,64.27
627,1,68.48
629,1,59.26
630,1,54.69
631,1,41.3
632,1,56.44
633,1,36.71
634,1,34.06
635,1,25.53
636,1,43.16
639,1,86.2
640,1,80.8
641,1,68.12
642,1,57.07
644,1,56.87
646,2,71.21
648,1,47.72
651,1,50.4
652,1,42.99
653,1,46.22
662,1,41.74
