ID,SEX,AGE
OAS1_0170,1,71
OAS1_0173,1,35
OAS1_0174,1,23
OAS1_0176,2,88
OAS1_0177,2,54
OAS1_0178,2,44
OAS1_0179,2,87
OAS1_0181,2,49
OAS1_0182,1,48
OAS1_0183,1,44
OAS1_0184,2,65
OAS1_0186,1,84
OAS1_0188,1,48
OAS1_0189,1,22
OAS1_0190,1,43
OAS1_0191,2,21
OAS1_0192,2,31
OAS1_0193,2,23
OAS1_0199,1,69
OAS1_0200,2,60
OAS1_0202,2,23
OAS1_0203,2,71
OAS1_0204,1,48
OAS1_0205,1,75
OAS1_0206,2,78
OAS1_0207,1,51
OAS1_0208,2,55
OAS1_0209,2,22
OAS1_0210,2,73
OAS1_0211,1,20
OAS1_0212,2,74
OAS1_0213,2,48
OAS1_0216,2,71
OAS1_0217,2,78
OAS1_0220,2,75
OAS1_0221,2,94
OAS1_0222,2,49
OAS1_0223,1,84
OAS1_0224,2,22
OAS1_0226,1,90
OAS1_0227,2,26
OAS1_0228,2,81
OAS1_0229,2,55
OAS1_0230,2,19
OAS1_0231,2,20
OAS1_0232,1,22
OAS1_0233,2,77
OAS1_0234,1,75
OAS1_0235,1,37
OAS1_0236,2,20
OAS1_0238,2,77
OAS1_0239,2,29
OAS1_0240,2,74
OAS1_0241,2,74
OAS1_0243,1,64
OAS1_0244,2,80
OAS1_0246,2,22
OAS1_0247,1,90
OAS1_0249,2,28
OAS1_0250,1,21
OAS1_0253,2,20
OAS1_0254,2,85
OAS1_0255,2,71
OAS1_0256,1,70
OAS1_0258,2,21
OAS1_0260,1,87
OAS1_0261,1,28
OAS1_0262,1,46
OAS1_0263,1,79
OAS1_0264,1,24
OAS1_0265,2,54
OAS1_0266,1,51
OAS1_0267,1,80
OAS1_0268,1,78
OAS1_0269,2,72
OAS1_0271,2,89
OAS1_0272,2,75
OAS1_0273,2,89
OAS1_0274,2,58
OAS1_0277,1,22
OAS1_0278,2,96
OAS1_0279,2,73
OAS1_0280,2,78
OAS1_0281,1,28
OAS1_0282,2,45
OAS1_0283,2,18
OAS1_0284,2,91
OAS1_0285,1,20
OAS1_0286,2,83
OAS1_0287,2,78
OAS1_0288,1,71
OAS1_0289,2,59
OAS1_0290,1,83
OAS1_0291,2,73
OAS1_0295,2,20
OAS1_0296,2,28
OAS1_0298,2,72
OAS1_0300,1,68
OAS1_0301,2,90
OAS1_0302,1,22
OAS1_0303,2,67
OAS1_0304,1,84
OAS1_0305,1,48
OAS1_0307,1,67
OAS1_0308,2,78
OAS1_0309,2,54
OAS1_0310,2,20
OAS1_0311,2,22
OAS1_0312,2,73
OAS1_0313,2,20
OAS1_0314,1,27
OAS1_0315,1,77
OAS1_0316,2,72
OAS1_0317,1,86
OAS1_0318,1,33
OAS1_0319,1,31
OAS1_0321,1,19
OAS1_0322,2,65
OAS1_0323,2,50
OAS1_0325,2,27
OAS1_0326,2,73
OAS1_0328,1,19
OAS1_0329,2,80
OAS1_0331,2,54
OAS1_0332,1,72
OAS1_0337,1,81
OAS1_0338,1,77
OAS1_0339,2,79
OAS1_0340,1,19
OAS1_0341,2,71
OAS1_0342,2,88
OAS1_0343,1,68
OAS1_0344,1,20
OAS1_0345,2,54
OAS1_0346,1,23
OAS1_0348,2,22
OAS1_0349,2,43
OAS1_0350,1,21
OAS1_0353,1,22
OAS1_0358,1,65
OAS1_0359,1,21
OAS1_0361,1,20
OAS1_0362,2,63
OAS1_0363,1,87
OAS1_0365,1,74
OAS1_0366,2,45
OAS1_0367,2,46
OAS1_0368,1,22
OAS1_0369,2,73
OAS1_0370,1,23
OAS1_0371,2,70
OAS1_0372,1,59
OAS1_0373,2,80
OAS1_0374,2,73
OAS1_0375,1,46
OAS1_0376,1,31
OAS1_0377,1,25
OAS1_0378,2,58
OAS1_0379,2,20
OAS1_0380,2,83
OAS1_0381,1,59
OAS1_0383,1,58
OAS1_0384,2,38
OAS1_0385,1,22
OAS1_0386,2,26
OAS1_0387,2,26
OAS1_0388,2,77
OAS1_0389,1,55
OAS1_0390,1,69
OAS1_0392,2,24
OAS1_0394,2,22
OAS1_0395,2,26
OAS1_0396,1,25
OAS1_0397,2,20
OAS1_0398,1,71
OAS1_0399,1,78
OAS1_0400,2,92
OAS1_0401,2,54
OAS1_0402,2,76
OAS1_0403,1,19
OAS1_0405,1,77
OAS1_0406,2,25
OAS1_0407,2,55
OAS1_0408,2,22
OAS1_0409,1,34
OAS1_0410,2,23
OAS1_0411,2,71
OAS1_0413,2,25
OAS1_0415,2,21
OAS1_0416,2,23
OAS1_0417,2,30
OAS1_0418,1,74
OAS1_0419,2,21
OAS1_0421,2,22
OAS1_0422,2,69
OAS1_0423,1,75
OAS1_0424,1,75
OAS1_0426,2,82
OAS1_0428,2,84
OAS1_0429,2,45
OAS1_0430,1,71
OAS1_0431,2,22
OAS1_0432,2,72
OAS1_0433,1,58
OAS1_0434,2,50
OAS1_0435,1,23
OAS1_0437,2,22
OAS1_0438,2,66
OAS1_0439,1,21
OAS1_0441,1,81
OAS1_0442,2,23
OAS1_0443,2,52
OAS1_0444,2,30
OAS1_0445,2,90
OAS1_0446,2,80
OAS1_0447,2,92
OAS1_0448,2,22
OAS1_0449,2,71
OAS1_0450,1,19
OAS1_0451,1,73
OAS1_0452,1,75
OAS1_0453,2,70
OAS1_0454,2,73
OAS1_0455,2,61
OAS1_0456,1,61
OAS1_0457,2,62
